title,artist,genre
Where Is My Mind?,Pixies,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack"
Bitter Sweet Symphony,The Verve,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop"
Toxicity,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
Basket Case,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, 90s"
Heart-Shaped Box,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
By the Way,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk"
I Will Follow You Into The Dark,Death Cab for Cutie,"rock, alternative, indie, indie_rock, acoustic, emo, love, beautiful, mellow"
Smile Like You Mean It,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock"
Hysteria,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british"
In Bloom,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Love Will Tear Us Apart,Joy Division,"rock, alternative, indie, 80s, british, new_wave, post_punk, love"
Don't Stop Believin',Journey,"rock, classic_rock, 80s"
Someday,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s"
Don't Panic,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, beautiful, britpop, mellow, chill"
Boulevard of Broken Dreams,Green Day,"rock, alternative, alternative_rock, punk, punk_rock"
Back in Black,AC/DC,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal"
Float On,Modest Mouse,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s"
Bring Me to Life,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic"
Can't Stop,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk"
She Will Be Loved,Maroon 5,"rock, alternative, pop, alternative_rock, love, pop_rock"
Nothing Else Matters,Metallica,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s"
Paradise City,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal"
Naïve,The Kooks,"rock, alternative, indie, indie_rock, british, britpop"
Trouble,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, piano, beautiful, britpop, mellow"
In My Place,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, 00s, britpop, mellow"
No One Knows,Queens of the Stone Age,"rock, alternative, alternative_rock, hard_rock, 00s"
Rape Me,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Polly,Nirvana,"rock, alternative, alternative_rock, 90s, acoustic, grunge"
Hurt,Johnny Cash,"rock, classic_rock, folk, singer_songwriter, acoustic, country, beautiful, cover"
High and Dry,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, beautiful, britpop"
Such Great Heights,The Postal Service,"rock, electronic, alternative, indie, pop, indie_rock, indie_pop, love"
Mardy Bum,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop"
Fake Plastic Trees,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, love, beautiful, britpop, mellow"
Sweet Home Alabama,Lynyrd Skynyrd,"rock, classic_rock, 70s, blues_rock"
This Love,Maroon 5,"rock, alternative, pop, alternative_rock, love, 00s, pop_rock"
Don't Look Back in Anger,Oasis,"rock, alternative, indie, alternative_rock, british, 90s, britpop"
Speed of Sound,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, 00s, britpop, mellow"
Break on Through (to the Other Side),The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock"
Here Without You,3 Doors Down,"rock, alternative, alternative_rock, love"
Black Hole Sun,Soundgarden,"rock, alternative, alternative_rock, 90s, grunge"
Sultans of Swing,Dire Straits,"rock, classic_rock, 80s, 70s, guitar"
Another One Bites the Dust,Queen,"rock, classic_rock, hard_rock, 80s, british"
Learn to Fly,Foo Fighters,"rock, alternative, alternative_rock, 90s, grunge"
Kryptonite,3 Doors Down,"rock, alternative, alternative_rock, hard_rock"
Radioactive,Imagine Dragons,"rock, alternative, indie, alternative_rock, indie_rock, american"
Are You Gonna Be My Girl,Jet,"rock, alternative, indie, alternative_rock, indie_rock"
Wake Me Up When September Ends,Green Day,"rock, alternative, indie, alternative_rock, punk, punk_rock, american, 00s"
Last Nite,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s"
All Apologies,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Fake Tales of San Francisco,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Don't Stop Me Now,Queen,"rock, classic_rock, 80s, british, 70s"
Fluorescent Adolescent,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop"
Buddy Holly,Weezer,"rock, alternative, indie, alternative_rock, indie_rock, 90s, american"
Island in the Sun,Weezer,"rock, alternative, indie, pop, alternative_rock, indie_rock, 90s, 00s, mellow, chill"
Banquet,Bloc Party,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop"
Fortunate Son,Creedence Clearwater Revival,"rock, classic_rock, 60s"
1979,The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, 90s, grunge"
Lonely Day,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
Every Breath You Take,The Police,"rock, pop, classic_rock, 80s, british, new_wave"
How You Remind Me,Nickelback,"rock, alternative, alternative_rock, hard_rock"
Don't Speak,No Doubt,"rock, alternative, pop, female_vocalists, alternative_rock, 90s, love, pop_rock, ska"
Light My Fire,The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock"
We Will Rock You,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s"
Dream On,Aerosmith,"rock, classic_rock, hard_rock, 70s"
The Kids Aren't Alright,The Offspring,"rock, alternative, alternative_rock, punk, punk_rock, 90s"
Everything in Its Right Place,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, chillout"
Boys Don't Cry,The Cure,"rock, alternative, indie, pop, alternative_rock, 80s, british, new_wave, post_punk"
Just Like Heaven,The Cure,"rock, alternative, pop, alternative_rock, 80s, british, new_wave, post_punk, love"
One Step Closer,Linkin Park,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
Violet Hill,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop"
Beautiful Day,U2,"rock, alternative, pop, classic_rock, pop_rock"
With or Without You,U2,"rock, alternative, pop, classic_rock, 80s, love"
I Hate Everything About You,Three Days Grace,"rock, alternative, metal, alternative_rock, hard_rock"
The Reason,Hoobastank,"rock, alternative, pop, alternative_rock, love, pop_rock"
November Rain,Guns N' Roses,"rock, classic_rock, hard_rock, 80s, 90s"
People Are Strange,The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock"
The Middle,Jimmy Eat World,"rock, alternative, indie, pop, alternative_rock, punk, indie_rock, punk_rock, emo"
Gimme Shelter,The Rolling Stones,"rock, classic_rock, british, 60s"
My Hero,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge"
All Along the Watchtower,Jimi Hendrix,"rock, classic_rock, blues, psychedelic, 60s, psychedelic_rock, guitar, cover"
Hey There Delilah,Plain White T's,"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow"
When the Sun Goes Down,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop"
Like a Rolling Stone,Bob Dylan,"rock, classic_rock, folk, singer_songwriter, acoustic, 60s, oldies"
The House of the Rising Sun,The Animals,"rock, classic_rock, british, 60s, oldies, blues_rock"
Come Together,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies"
What I've Done,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal"
Dumb,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Airbag,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop"
B.Y.O.B.,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, heavy_metal, nu_metal"
Sympathy for the Devil,The Rolling Stones,"rock, classic_rock, british, 60s"
Alive,Pearl Jam,"rock, alternative, alternative_rock, 90s, grunge"
Immigrant Song,Led Zeppelin,"rock, classic_rock, hard_rock, british, 70s"
15 Step,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, britpop"
Money,Pink Floyd,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock"
Loser,Beck,"rock, alternative, indie, alternative_rock, indie_rock, singer_songwriter, 90s"
Let It Be,The Beatles,"rock, pop, classic_rock, british, piano, 60s, oldies"
Dancing Shoes,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Eye of the Tiger,Survivor,"rock, classic_rock, hard_rock, 80s, soundtrack"
Drive,Incubus,"rock, alternative, indie, alternative_rock, 90s, acoustic"
Aerials,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
All I Need,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, love, beautiful, britpop"
Ace of Spades,Motörhead,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal"
Ruby,Kaiser Chiefs,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, 00s, britpop"
1901,Phoenix,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french"
Sunshine of Your Love,Cream,"rock, classic_rock, blues, psychedelic, 60s, psychedelic_rock, blues_rock"
Beat It,Michael Jackson,"rock, pop, dance, 80s, funk"
(I Can't Get No) Satisfaction,The Rolling Stones,"rock, classic_rock, british, 60s"
Better Together,Jack Johnson,"rock, pop, singer_songwriter, chillout, acoustic, love, mellow, chill"
Crawling,Linkin Park,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
More Than a Feeling,Boston,"rock, classic_rock, hard_rock, 80s, 70s"
My Immortal,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, piano, love, beautiful, gothic_metal, gothic"
Closer,Kings of Leon,"rock, alternative, indie, alternative_rock, indie_rock"
Let Down,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop"
All My Life,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, grunge"
Paradise,Coldplay,"rock, alternative, pop, alternative_rock, british, beautiful, britpop"
Human,The Killers,"rock, electronic, alternative, indie, pop, alternative_rock, indie_rock, dance, 00s"
Yesterday,The Beatles,"rock, pop, classic_rock, british, acoustic, 60s, oldies, beautiful"
Maps,Yeah Yeah Yeahs,"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock, love, beautiful, 00s"
Reckoner,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, chillout, beautiful, britpop"
What You Know,Two Door Cinema Club,"rock, electronic, indie, indie_rock, british, indie_pop"
Smoke on the Water,Deep Purple,"rock, classic_rock, hard_rock, heavy_metal, 70s"
Talk,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, 00s, britpop"
Whole Lotta Love,Led Zeppelin,"rock, classic_rock, hard_rock, progressive_rock, british, 70s, 60s, blues_rock"
What's My Age Again?,blink-182,"rock, alternative, pop, alternative_rock, punk, punk_rock, 90s"
Last Resort,Papa Roach,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
Hallelujah,Jeff Buckley,"rock, alternative, indie, alternative_rock, folk, singer_songwriter, 90s, acoustic, male_vocalists, love, beautiful, cover, mellow"
Bodysnatchers,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s"
Iron Man,Black Sabbath,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s"
Riders on the Storm,The Doors,"rock, classic_rock, psychedelic, 70s, 60s, psychedelic_rock, blues_rock"
Sweet Disposition,The Temper Trap,"rock, alternative, indie, alternative_rock, indie_rock, soundtrack, beautiful"
Baba O'Riley,The Who,"rock, classic_rock, british, 70s, 60s"
You Only Live Once,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock"
Lisztomania,Phoenix,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french"
Help!,The Beatles,"rock, pop, classic_rock, british, 60s, oldies"
Lucky,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop"
Even Flow,Pearl Jam,"rock, alternative, alternative_rock, 90s, grunge"
Drain You,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Bulls on Parade,Rage Against the Machine,"rock, alternative, metal, alternative_rock, hard_rock, 90s"
Black Dog,Led Zeppelin,"rock, classic_rock, hard_rock, progressive_rock, british, 70s, blues_rock"
Master of Puppets,Metallica,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal"
House of Cards,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, indie_rock, british, love, beautiful, 00s, britpop, mellow, chill"
Good Riddance (Time of Your Life),Green Day,"rock, alternative, alternative_rock, punk, punk_rock, 90s, acoustic, american, beautiful, mellow"
Killer Queen,Queen,"rock, classic_rock, hard_rock, british, 70s"
Give It Away,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk"
Idioteque,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british"
Subterranean Homesick Alien,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, psychedelic, beautiful, britpop, mellow"
Breed,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Plug In Baby,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british"
Here Comes the Sun,The Beatles,"rock, pop, classic_rock, british, 60s, oldies, beautiful"
Nude,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, indie_rock, british, chillout, beautiful, 00s, mellow, chill"
You're Beautiful,James Blunt,"rock, alternative, indie, pop, singer_songwriter, british, acoustic, male_vocalists, love, beautiful, britpop, mellow"
Rebellion (Lies),Arcade Fire,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s"
Helicopter,Bloc Party,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop"
London Calling,The Clash,"rock, classic_rock, punk, 80s, british, punk_rock, 70s"
Bad Moon Rising,Creedence Clearwater Revival,"rock, classic_rock, 60s, oldies"
One,Metallica,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal"
Shiver,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, beautiful, britpop, mellow"
You Shook Me All Night Long,AC/DC,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal"
Hey Jude,The Beatles,"rock, pop, classic_rock, british, 60s, oldies"
Wake Up,Arcade Fire,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s"
We Are the Champions,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s"
Say It Ain't So,Weezer,"rock, alternative, indie, alternative_rock, indie_rock, 90s, mellow"
The Kill,30 Seconds to Mars,"rock, alternative, alternative_rock, progressive_rock, emo"
Dirty Harry,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, funk, trip_hop, 00s"
Seaside,The Kooks,"rock, alternative, indie, indie_rock, british, acoustic, britpop"
The Funeral,Band of Horses,"rock, alternative, indie, indie_rock, beautiful, mellow"
All You Need Is Love,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies, love"
A Certain Romance,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Times Like These,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, grunge"
Imagine,John Lennon,"rock, pop, classic_rock, singer_songwriter, british, piano, 70s, oldies, beautiful"
"Tonight, Tonight",The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge"
Lullaby,The Cure,"rock, alternative, indie, alternative_rock, 80s, british, new_wave, post_punk, gothic"
Roxanne,The Police,"rock, pop, classic_rock, 80s, british, new_wave, reggae, 70s"
Eleanor Rigby,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies"
Jeremy,Pearl Jam,"rock, alternative, alternative_rock, 90s, grunge"
Torn,Natalie Imbruglia,"rock, pop, female_vocalists, 90s"
Yellow Submarine,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies"
When I Come Around,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, 90s"
Lonely Boy,The Black Keys,"rock, indie, indie_rock, blues, american, blues_rock"
Holiday,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, american"
Lovesong,The Cure,"rock, alternative, pop, alternative_rock, 80s, british, new_wave, post_punk, love"
Behind Blue Eyes,Limp Bizkit,"rock, alternative, metal, alternative_rock, cover, nu_metal"
Chelsea Dagger,The Fratellis,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
The Unforgiven,Metallica,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s"
Hollaback Girl,Gwen Stefani,"rock, pop, female_vocalists, dance, hip_hop"
Go With the Flow,Queens of the Stone Age,"rock, alternative, alternative_rock, hard_rock, 00s"
Just,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop"
Brown Eyed Girl,Van Morrison,"rock, pop, classic_rock, folk, singer_songwriter, 60s, oldies"
Teddy Picker,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Monkey Wrench,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge"
Tears in Heaven,Eric Clapton,"rock, classic_rock, singer_songwriter, blues, 90s, acoustic, guitar, mellow, blues_rock"
Something,The Beatles,"rock, pop, classic_rock, british, 60s, oldies, love, beautiful"
Everybody's Changing,Keane,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, britpop, mellow"
Black,Pearl Jam,"rock, alternative, alternative_rock, 90s, grunge"
The Passenger,Iggy Pop,"rock, alternative, classic_rock, punk, punk_rock, 70s"
Ooh La,The Kooks,"rock, alternative, indie, indie_rock, british, britpop"
There Is a Light That Never Goes Out,The Smiths,"rock, alternative, indie, pop, alternative_rock, indie_rock, 80s, british, new_wave, post_punk, love, beautiful, britpop"
Street Spirit (Fade Out),Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow"
Stockholm Syndrome,Muse,"rock, alternative, indie, alternative_rock, progressive_rock, british"
The Great Gig in the Sky,Pink Floyd,"rock, female_vocalists, classic_rock, instrumental, progressive_rock, psychedelic, 70s, beautiful, psychedelic_rock"
Bullet With Butterfly Wings,The Smashing Pumpkins,"rock, alternative, alternative_rock, hard_rock, 90s, grunge"
Free Bird,Lynyrd Skynyrd,"rock, classic_rock, 70s, guitar"
Feeling Good,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, cover"
Tighten Up,The Black Keys,"rock, alternative, indie, indie_rock, blues, blues_rock"
Riot Van,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Self Esteem,The Offspring,"rock, alternative, alternative_rock, punk, punk_rock, 90s"
From the Ritz to the Rubble,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Banana Pancakes,Jack Johnson,"rock, alternative, pop, folk, singer_songwriter, chillout, acoustic, love, mellow, chill"
Mr. Jones,Counting Crows,"rock, alternative, indie, pop, alternative_rock, 90s"
Demons,Imagine Dragons,"rock, alternative, indie, alternative_rock, indie_rock, american"
Mrs. Robinson,Simon & Garfunkel,"rock, pop, classic_rock, folk, singer_songwriter, soundtrack, acoustic, 70s, 60s, oldies"
Teenagers,My Chemical Romance,"rock, alternative, alternative_rock, punk, punk_rock, emo"
Golden Skans,Klaxons,"rock, electronic, alternative, indie, indie_rock, british"
All Star,Smash Mouth,"rock, alternative, pop, alternative_rock, soundtrack, 90s, pop_rock, ska"
Knockin' on Heaven's Door,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, 90s, cover"
Parallel Universe,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk"
Somebody to Love,Jefferson Airplane,"rock, female_vocalists, classic_rock, psychedelic, 60s, oldies, psychedelic_rock"
Faust Arp,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, acoustic, beautiful"
Adam's Song,blink-182,"rock, alternative, alternative_rock, punk, punk_rock, emo"
Green Eyes,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, acoustic, love, beautiful, 00s, guitar, britpop, mellow"
Sail,Awolnation,"rock, electronic, alternative, indie, alternative_rock, indie_rock, chill"
Fat Lip,Sum 41,"rock, alternative, alternative_rock, punk, punk_rock"
Climbing Up the Walls,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop"
Do You Want To,Franz Ferdinand,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop"
Linger,The Cranberries,"rock, alternative, indie, pop, female_vocalists, alternative_rock, 90s, love, mellow"
Videotape,Radiohead,"rock, alternative, indie, alternative_rock, experimental, british, piano, beautiful, britpop, mellow"
Still Take You Home,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
Go Your Own Way,Fleetwood Mac,"rock, pop, classic_rock, 70s"
Heads Will Roll,Yeah Yeah Yeahs,"rock, electronic, alternative, indie, female_vocalists, indie_rock, dance, 00s"
The Final Countdown,Europe,"rock, classic_rock, hard_rock, 80s"
Something Good Can Work,Two Door Cinema Club,"rock, electronic, alternative, indie, pop, indie_rock, british, indie_pop, britpop"
The Youth,MGMT,"rock, electronic, alternative, indie, indie_rock, psychedelic, indie_pop"
Electioneering,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop"
God Put a Smile Upon Your Face,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, 00s, britpop"
On Melancholy Hill,Gorillaz,"rock, electronic, alternative, indie, pop, british, beautiful"
Walk on the Wild Side,Lou Reed,"rock, classic_rock, singer_songwriter, 70s"
Guerrilla Radio,Rage Against the Machine,"rock, alternative, metal, alternative_rock, hard_rock, 90s"
On Top,The Killers,"rock, electronic, alternative, indie, alternative_rock, indie_rock"
Going Under,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic"
Run,Snow Patrol,"rock, alternative, indie, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow"
Smooth Criminal,Alien Ant Farm,"rock, alternative, alternative_rock, punk, hard_rock, punk_rock, cover"
Map of the Problematique,Muse,"rock, electronic, alternative, indie, alternative_rock, indie_rock, progressive_rock, british"
Strawberry Swing,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, 00s, britpop, mellow"
Kids With Guns,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, british, hip_hop, trip_hop"
Brianstorm,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop"
How to Disappear Completely,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, beautiful, 00s, mellow"
Today,The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge"
Us and Them,Pink Floyd,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock"
Crazy Little Thing Called Love,Queen,"rock, classic_rock, 80s, british, 70s"
No Cars Go,Arcade Fire,"rock, alternative, indie, alternative_rock, indie_rock, beautiful"
Pompeii,Bastille,"rock, alternative, indie, pop, indie_rock, british, indie_pop"
Hey You,Pink Floyd,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock"
Is This It,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, american, 00s"
New Born,Muse,"rock, alternative, indie, alternative_rock, progressive_rock, british"
My Generation,The Who,"rock, classic_rock, hard_rock, british, 60s"
